번호,개방서비스명,개방서비스ID,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명
16,영화상영관,03_13_02_P,3000000,CDFF4220002003000014,20030212,,01,영업/정상,13,영업중,,,,,02-742-4232,,,서울특별시 종로구 낙원동 284-6번지 ,"서울특별시 종로구 삼일대로 428, 4층 (낙원동)",03140,낭만극장,20181102154538,U,2018-11-12 04:00:00.0,,198852.959716775    ,452253.942584507    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
17,영화상영관,03_13_02_P,3000000,CDFF4220002003000013,20030212,,01,영업/정상,13,영업중,,,,,3672-4232,,,서울특별시 종로구 낙원동 284-6번지 ,서울특별시 종로구 삼일대로 428 (낙원동),,(주)추억을 파는 극장,20181102154521,U,2018-11-12 04:00:00.0,,198852.959716775    ,452253.942584507    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
18,영화상영관,03_13_02_P,3000000,CDFF4220002003000012,20030212,,01,영업/정상,13,영업중,,,,,2277-3015,,,서울특별시 종로구 관수동 59-7번지 지하1층 ,"서울특별시 종로구 돈화문로 13, 지하1층 (관수동)",03192,서울극장 8관,20180104095131,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
19,영화상영관,03_13_02_P,3000000,CDFF4220002003000011,20030212,,01,영업/정상,13,영업중,,,,,2277-3015,,110420,"서울특별시 종로구 관수동 59-7번지 1,2층 ","서울특별시 종로구 돈화문로 13, 1,2층 (관수동)",03192,서울극장 7관,20180104095046,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
20,영화상영관,03_13_02_P,3000000,CDFF4220002003000010,20030212,,01,영업/정상,13,영업중,,,,,070-8236-0366,,,서울특별시 종로구 관수동 59-7번지 3층 ,"서울특별시 종로구 돈화문로 13, 3층 (관수동)",03192,독립영화전용관 인디스페이스,20171012114214,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
21,영화상영관,03_13_02_P,3000000,CDFF4220002003000009,20030212,,01,영업/정상,13,영업중,,,,,2277-3015,,110420,서울특별시 종로구 관수동 59-7번지 5층 ,"서울특별시 종로구 돈화문로 13, 5층 (관수동)",03192,서울극장 5관,20180104094949,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
22,영화상영관,03_13_02_P,3000000,CDFF4220002003000008,20030212,,01,영업/정상,13,영업중,,,,,2277-3015,,,서울특별시 종로구 관수동 59-7번지 지하1층 ,"서울특별시 종로구 돈화문로 13, 지하1층 (관수동, 서울극장)",03192,서울극장 3관,20180104094911,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,6,2,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
23,영화상영관,03_13_02_P,3000000,CDFF4220002003000007,20030212,,01,영업/정상,13,영업중,,,,,2277-3015,,110420,"서울특별시 종로구 관수동 59-7번지 2층, 3중·상층 ","서울특별시 종로구 돈화문로 13, 2층, 3중·상층 (관수동)",03192,서울극장 2관,20180104094746,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
24,영화상영관,03_13_02_P,3000000,CDFF4220002003000006,20030212,,03,폐업,03,폐업,,,,,2277-3015,,110420,"서울특별시 종로구 관수동 59-7번지 4층, 5중·상층 ",,,서울극장 1관,20140403190559,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
25,영화상영관,03_13_02_P,3000000,CDFF4220002003000005,20030212,,03,폐업,03,폐업,20041015,,,,3672-0182,,110530,서울특별시 종로구 혜화동 185번지 ,서울특별시 종로구 대학로 144  (혜화동),,동숭시네마텍 2관,20050906134315,I,2018-08-31 23:59:59.0,,200121.813720325    ,453518.007319338    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
26,영화상영관,03_13_02_P,3000000,CDFF4220002003000004,20030212,,03,폐업,03,폐업,20030730,,,,3672-0182,,110530,서울특별시 종로구 혜화동 185번지 ,서울특별시 종로구 대학로 144  (혜화동),,동숭시네마텍 1관,20030731094049,I,2018-08-31 23:59:59.0,,200121.813720325    ,453518.007319338    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
27,영화상영관,03_13_02_P,3000000,CDFF4220002003000003,20030212,,03,폐업,03,폐업,20041125,,,,739-9932,,110111,서울특별시 종로구 관철동 13-13번지 ,서울특별시 종로구 종로12길 15  (관철동),,코아아트홀 2관,20041203142313,I,2018-08-31 23:59:59.0,,198697.706712628    ,451897.834324531    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
28,영화상영관,03_13_02_P,3000000,CDFF4220002003000002,20030212,,03,폐업,03,폐업,20041125,,,,739-9932,,110111,서울특별시 종로구 관철동 13-13번지 ,서울특별시 종로구 종로12길 15  (관철동),,코아아트홀 1관,20041203142234,I,2018-08-31 23:59:59.0,,198697.706712628    ,451897.834324531    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
29,영화상영관,03_13_02_P,3000000,CDFF4220002003000001,20030212,,03,폐업,03,폐업,20080403,,,,745-4231,,110320,서울특별시 종로구 낙원동 284-6번지 ,서울특별시 종로구 삼일대로 428  (낙원동),,필름포럼1관,20080630145820,I,2018-08-31 23:59:59.0,,198852.959716775    ,452253.942584507    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
30,영화상영관,03_13_02_P,3000000,CDFF4220002002000001,20020201,,03,폐업,03,폐업,20081226,,,,708-5003,,110470,서울특별시 종로구 연지동 270번지 ,서울특별시 종로구 종로33길 15  (연지동),,연강홀,20081226104839,I,2018-08-31 23:59:59.0,,200038.343054497    ,452178.774541021    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20020201,
31,영화상영관,03_13_02_P,3000000,CDFF4220002005000007,20050126,,03,폐업,03,폐업,20100714,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 7층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 7층)",,아산엠인터내셔널 단성사 7관,20100721133841,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
32,영화상영관,03_13_02_P,3000000,CDFF4220002005000006,20050126,,03,폐업,03,폐업,20100714,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 7층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 7층)",,아산엠인터내셔널 단성사 6관,20100721133805,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
33,영화상영관,03_13_02_P,3000000,CDFF4220002003000031,20030802,,01,영업/정상,13,영업중,,,,,741-9782,,,서울특별시 종로구 관수동 59-7번지 3층 ,"서울특별시 종로구 돈화문로 13, 3층 (관수동)",03192,서울아트시네마,20150423180214,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030802,
34,영화상영관,03_13_02_P,3000000,CDFF4220002003000030,20030802,,01,영업/정상,13,영업중,,,,,2277-3015,,,서울특별시 종로구 관수동 59-7번지 5층 ,"서울특별시 종로구 돈화문로 13, 5층 (관수동)",03192,서울극장 10관,20180104095240,I,2018-08-31 23:59:59.0,,199205.329842153    ,451945.821955137    ,영화상영관,영화상영관,,,,,6,2,,,,,,,,,,,,,,,,,,,,영화관,,20030802,
35,영화상영관,03_13_02_P,3000000,CDFF4220002003000029,19720220,,01,영업/정상,13,영업중,,,,,2279-8338,,110833,서울특별시 종로구 예지동 222번지 4층 ,"서울특별시 종로구 청계천로 187  (예지동,4층)",,바다극장,20090513171046,I,2018-08-31 23:59:59.0,,199794.250869762    ,451891.4859896      ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,19720220,
36,영화상영관,03_13_02_P,3000000,CDFF4220002003000028,20030212,,03,폐업,03,폐업,,,,,3676-8400,,110524,서울특별시 종로구 명륜4가 113-1번지 ,서울특별시 종로구 대학로11길 23  (명륜4가),,씨네유극장 5관,20090414135009,I,2018-08-31 23:59:59.0,,199972.881431778    ,453308.674806807    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
37,영화상영관,03_13_02_P,3000000,CDFF4220002003000027,20030212,,03,폐업,03,폐업,,,,,3676-8400,,110524,서울특별시 종로구 명륜4가 113-1번지 ,서울특별시 종로구 대학로11길 23  (명륜4가),,씨네유극장 4관,20090414134958,I,2018-08-31 23:59:59.0,,199972.881431778    ,453308.674806807    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
38,영화상영관,03_13_02_P,3000000,CDFF4220002003000026,20030212,,03,폐업,03,폐업,,,,,3676-8400,,110524,서울특별시 종로구 명륜4가 113-1번지 ,서울특별시 종로구 대학로11길 23  (명륜4가),,씨네유극장 3관,20090414134921,I,2018-08-31 23:59:59.0,,199972.881431778    ,453308.674806807    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20030212,
39,영화상영관,03_13_02_P,3000000,CDFF4220002005000005,20050126,,03,폐업,03,폐업,20100714,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 7층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 7층)",,아산엠인터내셔널 단성사 5관,20100721133735,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
40,영화상영관,03_13_02_P,3000000,CDFF4220002005000004,20050126,,03,폐업,03,폐업,20100406,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 5층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 5층)",,아산엠인터내셔널 단성사 4관,20100406104723,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
41,영화상영관,03_13_02_P,3000000,CDFF4220002005000003,20050126,,03,폐업,03,폐업,20100406,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 5층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 5층)",,아산엠인터내셔널 단성사 3관,20100406104705,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
42,영화상영관,03_13_02_P,3000000,CDFF4220002005000002,20050126,,03,폐업,03,폐업,20100406,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 5층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 5층)",,아산엠인터내셔널 단성사 2관,20100406104642,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
43,영화상영관,03_13_02_P,3000000,CDFF4220002005000001,20050126,,03,폐업,03,폐업,20100406,,,,765-1907,,,서울특별시 종로구 묘동 56번지 단성사 3층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 3층)",,아산엠인터내셔널 단성사 1관,20100406104619,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20050126,
44,영화상영관,03_13_02_P,3000000,CDFF4220002004000015,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하4층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",,CGV피카디리1958 8관,20190423144506,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
45,영화상영관,03_13_02_P,3000000,CDFF4220002004000014,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하4층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",,CGV피카디리1958 6관,20190423144440,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
46,영화상영관,03_13_02_P,3000000,CDFF4220002004000013,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하4층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",,CGV피카디리1958 5관,20190423144427,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
47,영화상영관,03_13_02_P,3000000,CDFF4220002004000012,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하4층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",,CGV피카디리1958 4관,20190423144416,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
48,영화상영관,03_13_02_P,3000000,CDFF4220002004000011,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하4층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",,CGV피카디리1958 7관,20190423144453,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
49,영화상영관,03_13_02_P,3000000,CDFF4220002004000010,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하2층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하2층)",,CGV피카디리1958 3관,20190423144402,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
50,영화상영관,03_13_02_P,3000000,CDFF4220002004000009,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하2층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하2층)",,CGV피카디리1958 2관,20190423175921,U,2019-04-25 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
51,영화상영관,03_13_02_P,3000000,CDFF4220002004000008,20041112,,01,영업/정상,13,영업중,,,,,3674-7735,,,서울특별시 종로구 돈의동 137번지 지하2층 ,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하2층)",,CGV피카디리1958 1관,20190422144345,U,2019-04-24 02:40:00.0,,199155.542697952    ,452083.12305066     ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20041112,
52,영화상영관,03_13_02_P,3000000,CDFF4220002004000007,20040630,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 4층 ,"서울특별시 종로구 대명길 28 (명륜2가,4층)",,CGV 대학로 8관,20190423145320,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20040630,
53,영화상영관,03_13_02_P,3000000,CDFF4220002004000006,20040630,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 3층 ,"서울특별시 종로구 대명길 28 (명륜2가,3층)",,CGV 대학로 7관,20190423145332,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20040630,
54,영화상영관,03_13_02_P,3000000,CDFF4220002004000005,20040630,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 2층 ,"서울특별시 종로구 대명길 28 (명륜2가,2층)",,CGV 대학로 6관,20190423145440,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20040630,
55,영화상영관,03_13_02_P,3000000,CDFF4220002004000004,20040630,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 지하2층 ,"서울특별시 종로구 대명길 28 (명륜2가,지하2층)",,CGV 대학로 4관,20190423145506,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20040630,
56,영화상영관,03_13_02_P,3000000,CDFF4220002004000003,20040630,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 지하2층 ,"서울특별시 종로구 대명길 28 (명륜2가,지하2층)",,CGV 대학로 3관,20190423145523,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20040630,
57,영화상영관,03_13_02_P,3000000,CDFF4220002006000001,20060925,,01,영업/정상,13,영업중,,,,,3674-6000,,,서울특별시 종로구 묘동 56번지 단성사 지하2층 ,"서울특별시 종로구 돈화문로 26  (묘동,단성사 지하2층)",,아산엠인터내셔널 단성사 1관,20110131134656,I,2018-08-31 23:59:59.0,,199269.115470782    ,452076.225584316    ,영화상영관,영화상영관,,,,,,,,,,,,,,,,,,,,,,,,,,영화관,,20060925,
58,영화상영관,03_13_02_P,3000000,CDFF4220002005000008,20050526,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 지하1층 ,"서울특별시 종로구 대명길 28 (명륜2가,지하1층)",,CGV 대학로 5관 [CGV아트하우스],20190423145453,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20050526,
59,영화상영관,03_13_02_P,3000000,CDFF4220002004000002,20040630,,01,영업/정상,13,영업중,,,,,766-3211,,,서울특별시 종로구 명륜2가 41-9번지 지하3층 ,"서울특별시 종로구 대명길 28 (명륜2가,지하3층)",,CGV 대학로 2관,20190423145611,U,2019-04-25 02:40:00.0,,199916.833506015    ,453462.420943009    ,영화상영관,영화상영관,,,,,9,6,,,,,,,,,,,,,,,,,,,,영화관,,20040630,
